coalition,size,val_mean_dice,val_tc,val_wt,val_et
1,1,0.7209593653678894,0.6715594530105591,0.7949097156524658,0.7274513244628906
4,1,0.7006985545158386,0.6610963940620422,0.799250066280365,0.6586199402809143
6,1,0.7113056182861328,0.6269451379776001,0.8513829112052917,0.6795530915260315
13,1,0.707489013671875,0.6854795813560486,0.8342671394348145,0.6006883382797241
18,1,0.6794240474700928,0.6074037551879883,0.7958857417106628,0.6581885814666748
21,1,0.4434252977371216,0.3357561528682709,0.6676915884017944,0.3249381184577942
"1,4",2,0.7300631999969482,0.6805812120437622,0.8063846826553345,0.7336099743843079
"1,6",2,0.7286255359649658,0.6773432493209839,0.8057163953781128,0.7336118817329407
"1,13",2,0.7270591855049133,0.6776443123817444,0.8058599829673767,0.7273646593093872
"1,18",2,0.7465684413909912,0.6909064054489136,0.8286682963371277,0.750493586063385
"1,21",2,0.7250173091888428,0.6753031611442566,0.8010483980178833,0.7292650938034058
"4,6",2,0.7096993923187256,0.6448735594749451,0.8354190587997437,0.670712947845459
"4,13",2,0.7271937131881714,0.6938993334770203,0.837355375289917,0.656574010848999
"4,18",2,0.687723696231842,0.6174406409263611,0.8034094572067261,0.6655441522598267
"4,21",2,0.644049882888794,0.581217348575592,0.7853362560272217,0.5785833597183228
"6,13",2,0.7286733984947205,0.6718333959579468,0.8589416146278381,0.674686074256897
"6,18",2,0.6864179968833923,0.6137484312057495,0.8036328554153442,0.6655222773551941
"6,21",2,0.6121452450752258,0.5186455249786377,0.7906774878501892,0.5419098138809204
"13,18",2,0.6914007663726807,0.6219103336334229,0.8070944547653198,0.6684167981147766
"13,21",2,0.6450323462486267,0.5841386914253235,0.8093380928039551,0.5493884086608887
"18,21",2,0.6712212562561035,0.597676157951355,0.7930284142494202,0.6450431942939758
"1,4,6",3,0.735198974609375,0.6839630007743835,0.814131498336792,0.7376970052719116
"1,4,13",3,0.733881413936615,0.6844276189804077,0.8143585324287415,0.7320821285247803
"1,4,18",3,0.7468227744102478,0.6912751793861389,0.8301401138305664,0.7489296197891235
"1,4,21",3,0.7318217754364014,0.6820411682128906,0.8098796010017395,0.7335065603256226
"1,6,13",3,0.7330537438392639,0.6819352507591248,0.8142130970954895,0.7325977683067322
"1,6,18",3,0.74700528383255,0.6904733180999756,0.8306029438972473,0.7502521872520447
"1,6,21",3,0.7309592366218567,0.6794593334197998,0.8097155094146729,0.7340894937515259
"1,13,18",3,0.7471169233322144,0.6918338537216187,0.8310825228691101,0.7480776309967041
"1,13,21",3,0.7295679450035095,0.679856538772583,0.8099147081375122,0.7282804250717163
"1,18,21",3,0.7442666888237,0.6882803440093994,0.8279486894607544,0.7465897798538208
"4,6,13",3,0.7267336845397949,0.6754414439201355,0.8487368226051331,0.6724690198898315
"4,6,18",3,0.692525327205658,0.6213714480400085,0.8092972636222839,0.6704739332199097
"4,6,21",3,0.6657403111457825,0.5918405652046204,0.812136173248291,0.6110530495643616
"4,13,18",3,0.6972042918205261,0.628985583782196,0.812448263168335,0.6732929348945618
"4,13,21",3,0.6875622868537903,0.6390131115913391,0.8205675482749939,0.6123782992362976
"4,18,21",3,0.679714024066925,0.6080029010772705,0.800255537033081,0.6531146168708801
"6,13,18",3,0.6961401700973511,0.6257408857345581,0.8128048777580261,0.6734501123428345
"6,13,21",3,0.6754336357116699,0.6039422750473022,0.8299339413642883,0.608374834060669
"6,18,21",3,0.6781740784645081,0.6040666699409485,0.8003813624382019,0.6526612639427185
"13,18,21",3,0.6832147240638733,0.612178385257721,0.8038725852966309,0.6557831168174744
"1,4,6,13",4,0.7380381226539612,0.6869600415229797,0.8206280469894409,0.735659658908844
"1,4,6,18",4,0.7470535039901733,0.690637469291687,0.8318629860877991,0.748485267162323
"1,4,6,21",4,0.7360324859619141,0.6846690773963928,0.81644606590271,0.7367929816246033
"1,4,13,18",4,0.7472178936004639,0.6920168995857239,0.8322991132736206,0.7465642094612122
"1,4,13,21",4,0.7348002791404724,0.6849263310432434,0.8166601061820984,0.7317509651184082
"1,4,18,21",4,0.744377076625824,0.6884573698043823,0.8293342590332031,0.7448732256889343
"1,6,13,18",4,0.7474812865257263,0.6913741827011108,0.8328062891960144,0.7478762269020081
"1,6,13,21",4,0.7343138456344604,0.6830224394798279,0.8167943358421326,0.7323816418647766
"1,6,18,21",4,0.7446108460426331,0.6877631545066833,0.8298150897026062,0.7462263107299805
"1,13,18,21",4,0.7447993159294128,0.6891276240348816,0.8302634954452515,0.7443305253982544
"4,6,13,18",4,0.7003684043884277,0.6312630772590637,0.8168931603431702,0.6763172745704651
"4,6,13,21",4,0.6921407580375671,0.6290501356124878,0.8315767049789429,0.6322704553604126
"4,6,18,21",4,0.6846120953559875,0.6121624112129211,0.8059654235839844,0.6583307385444641
"4,13,18,21",4,0.6893636584281921,0.6198301911354065,0.8091648817062378,0.6612933874130249
"6,13,18,21",4,0.6881123185157776,0.6163740754127502,0.8093788623809814,0.6611943244934082
"1,4,6,13,18",5,0.7473394870758057,0.6913135647773743,0.8338028192520142,0.7460805177688599
"1,4,6,13,21",5,0.7381638288497925,0.6867227554321289,0.8219759464263916,0.7346740365028381
"1,4,6,18,21",5,0.7445710301399231,0.687839150428772,0.8309690356254578,0.7443804144859314
"1,4,13,18,21",5,0.7447248697280884,0.6891248226165771,0.8313831090927124,0.7425855994224548
"1,6,13,18,21",5,0.7450627684593201,0.6885759830474854,0.8319011926651001,0.7440016269683838
"4,6,13,18,21",5,0.6928303837776184,0.6223945021629333,0.8135294318199158,0.6650979518890381
